2.1 Taux de chomage,,,,,,,,,,
,,,,,,,,,,
Canton,Nationalité,Mois,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017,Total,Total,Total,Total
0,0,Mesures,Taux de chômage,Coefficients de variation,Chômeurs inscrits,Demandeurs d'emploi,Taux de chômage,Coefficients de variation,Chômeurs inscrits,Demandeurs d'emploi
Zurich,Etrangers,,5.3,A,12'111,15'384,5.3,A,12'111,15'384
Zurich,Suisses,,2.5,A,15'114,18'772,2.5,A,15'114,18'772
Berne,Etrangers,,5.5,A,4'900,6'859,5.5,A,4'900,6'859
Berne,Suisses,,1.8,A,8'758,11'526,1.8,A,8'758,11'526
Lucerne,Etrangers,,3.9,B,1'593,2'902,3.9,B,1'593,2'902
Lucerne,Suisses,,1.3,A,2'292,3'854,1.3,A,2'292,3'854
Uri,Etrangers,,2.1,D,53,130,2.1,D,53,130
Uri,Suisses,,0.4,C,59,127,0.4,C,59,127
Schwyz,Etrangers,,3.4,C,617,1'027,3.4,C,617,1'027
Schwyz,Suisses,,1.2,B,838,1'202,1.2,B,838,1'202
Obwald,Etrangers,,2.2,D,68,144,2.2,D,68,144
Obwald,Suisses,,0.5,C,85,175,0.5,C,85,175
Nidwald,Etrangers,,2.9,D,94,172,2.9,D,94,172
Nidwald,Suisses,,0.7,B,154,264,0.7,B,154,264
Glaris,Etrangers,,3.4,C,184,363,3.4,C,184,363
Glaris,Suisses,,1.4,C,232,350,1.4,C,232,350
Zoug,Etrangers,,3.9,C,717,1'217,3.9,C,717,1'217
Zoug,Suisses,,1.7,B,826,1'398,1.7,B,826,1'398
Fribourg,Etrangers,,5,B,1'888,3'569,5,B,1'888,3'569
Fribourg,Suisses,,2,A,2'578,4'268,2,A,2'578,4'268
Soleure,Etrangers,,5,B,1'569,2'927,5,B,1'569,2'927
Soleure,Suisses,,1.9,A,2'232,3'701,1.9,A,2'232,3'701
Bâle-Ville,Etrangers,,4.6,B,1'780,2'719,4.6,B,1'780,2'719
Bâle-Ville,Suisses,,2.8,B,1'675,2'449,2.8,B,1'675,2'449
Bâle-Campagne,Etrangers,,4.8,B,1'596,2'288,4.8,B,1'596,2'288
Bâle-Campagne,Suisses,,2.2,A,2'486,3'252,2.2,A,2'486,3'252
Schaffhouse,Etrangers,,5.1,C,595,1'122,5.1,C,595,1'122
Schaffhouse,Suisses,,2.2,B,691,1'206,2.2,B,691,1'206
Appenzell Rhodes-Extérieures,Etrangers,,3.4,C,179,306,3.4,C,179,306
Appenzell Rhodes-Extérieures,Suisses,,1.4,B,344,560,1.4,B,344,560
Appenzell Rhodes-Intérieures,Etrangers,,2,D,23,33,2,D,23,33
Appenzell Rhodes-Intérieures,Suisses,,0.5,C,39,69,0.5,C,39,69
St-Gall,Etrangers,,4.3,B,2'902,5'079,4.3,B,2'902,5'079
St-Gall,Suisses,,1.5,A,3'225,5'284,1.5,A,3'225,5'284
Grisons,Etrangers,,2.3,B,527,1'257,2.3,B,527,1'257
Grisons,Suisses,,0.7,A,639,1'333,0.7,A,639,1'333
Argovie,Etrangers,,5.6,A,4'972,7'280,5.6,A,4'972,7'280
Argovie,Suisses,,2.1,A,5'712,7'865,2.1,A,5'712,7'865
Thurgovie,Etrangers,,3.9,B,1'475,2'795,3.9,B,1'475,2'795
Thurgovie,Suisses,,1.4,A,1'583,2'823,1.4,A,1'583,2'823
Tessin,Etrangers,,4.6,B,2'303,4'034,4.6,B,2'303,4'034
Tessin,Suisses,,2.5,A,2'899,4'641,2.5,A,2'899,4'641
Vaud,Etrangers,,5.9,A,8'264,12'166,5.9,A,8'264,12'166
Vaud,Suisses,,3.5,A,8'891,12'483,3.5,A,8'891,12'483
Valais,Etrangers,,4.9,B,2'126,3'772,4.9,B,2'126,3'772
Valais,Suisses,,2.1,A,2'690,4'255,2.1,A,2'690,4'255
Neuchâtel,Etrangers,,7.4,B,1'970,2'670,7.4,B,1'970,2'670
Neuchâtel,Suisses,,4.2,B,2'768,3'680,4.2,B,2'768,3'680
Genève,Etrangers,,5.7,A,5'942,7'601,5.7,A,5'942,7'601
Genève,Suisses,,4.8,A,6'292,7'896,4.8,A,6'292,7'896
Jura,Etrangers,,9,C,505,729,9,C,505,729
Jura,Suisses,,3.6,B,1'114,1'646,3.6,B,1'114,1'646
Total,,,3,A,133'169,193'624,3,A,133'169,193'624
