Year,NbArticles_Year
1979,124354
1980,178679
1981,241628
1982,287667
1983,320907
1984,355856
1985,395827
1986,385595
1987,388091
1988,405804
1989,343693
1990,322512
1991,563334
1992,289841
1993,496023
1994,634215
1995,614287
1996,880484
1997,870306
1998,1314021
1999,1795160
2000,1610092
2001,1919419
2002,1560261
2003,2080567
2004,1970998
2005,1402859
2006,2032533
2007,5103387
2008,7196901
2009,14115112
2010,15854158
2011,28822812
2012,34293437
2013,28924375
2014,46420217
2015,89630924
2016,98548708
2017,76147145
