Year,ActionGeo_CountryCode,NbArticles
1979,AE,10
1979,AF,2488
1979,AG,121
1979,AJ,147
1979,AL,190
1979,AM,176
1979,AO,1067
1979,AR,283
1979,AS,205
1979,AU,101
1979,AY,7
1979,BA,4
1979,BB,19
1979,BC,410
1979,BD,23
1979,BE,227
1979,BF,33
1979,BG,56
1979,BL,325
1979,BM,192
1979,BN,12
1979,BO,12
1979,BR,57
1979,BT,11
1979,BU,118
1979,BX,5
1979,CA,471
1979,CB,3087
1979,CD,407
1979,CE,24
1979,CF,19
1979,CG,29
1979,CH,7843
1979,CI,258
1979,CM,18
1979,CO,252
1979,CQ,39
1979,CS,727
1979,CT,150
1979,CU,515
1979,CY,169
1979,DA,49
1979,DJ,38
1979,DO,16
1979,DR,74
1979,EC,18
1979,EG,986
1979,EI,1364
1979,EK,18
1979,EN,20
1979,ER,366
1979,ES,1421
1979,ET,633
1979,EZ,113
1979,FI,10
1979,FJ,42
1979,FR,1451
1979,GA,20
1979,GB,19
1979,GG,37
1979,GH,136
1979,GJ,109
1979,GM,1201
1979,GP,32
1979,GR,165
1979,GT,323
1979,GV,32
1979,GY,163
1979,GZ,14
1979,HA,23
1979,HK,61
1979,HO,104
1979,HR,43
1979,HU,183
1979,IC,6
1979,ID,136
1979,IN,534
1979,IR,9494
1979,IS,7857
1979,IT,1945
1979,IZ,888
1979,JA,827
1979,JE,2
1979,JM,10
1979,JO,188
1979,KE,363
1979,KN,166
1979,KS,1319
1979,KU,113
1979,KV,16
1979,LA,395
1979,LE,4169
1979,LG,22
1979,LH,70
1979,LI,52
1979,LO,75
1979,LT,176
1979,LY,309
1979,MB,18
1979,MD,8
1979,MG,42
1979,MI,30
1979,MJ,13
1979,MK,23
1979,ML,8
1979,MO,531
1979,MR,79
1979,MT,39
1979,MU,73
1979,MX,831
1979,MY,200
1979,MZ,2089
1979,NH,25
1979,NI,195
1979,NL,216
1979,NO,72
1979,NP,56
1979,NU,3697
1979,NZ,25
1979,OC,86
1979,OS,33
1979,PA,28
1979,PE,107
1979,PK,885
1979,PL,525
1979,PM,185
1979,PO,161
1979,PP,18
1979,QA,3
1979,RB,68
1979,RI,13
1979,RO,100
1979,RP,422
1979,RQ,53
1979,RS,3549
1979,SA,470
1979,SE,102
1979,SF,2073
1979,SG,5
1979,SL,1
1979,SN,43
1979,SO,327
1979,SP,2055
1979,SU,95
1979,SW,85
1979,SY,1474
1979,SZ,145
1979,TD,7
1979,TH,2859
1979,TI,9
1979,TN,20
1979,TO,10
1979,TS,33
1979,TT,21
1979,TU,2084
1979,TW,72
1979,TX,10
1979,TZ,862
1979,UG,2113
1979,UK,4296
1979,UP,33
1979,US,8981
1979,UY,40
1979,UZ,25
1979,VC,27
1979,VE,379
1979,VM,12657
1979,VQ,10
1979,VT,16
1979,WA,505
1979,WE,434
1979,WI,120
1979,YI,16
1979,YM,201
1979,ZA,2511
1979,ZI,5899
1980,AE,21
1980,AF,9800
1980,AG,359
1980,AJ,272
1980,AL,18
1980,AM,193
1980,AO,824
1980,AR,428
1980,AS,357
1980,AU,113
1980,BA,32
1980,BB,21
1980,BC,108
1980,BD,1
1980,BE,145
1980,BF,37
1980,BG,286
1980,BH,18
1980,BK,34
1980,BL,591
1980,BM,539
1980,BP,4
1980,BR,184
1980,BU,24
1980,BX,13
1980,BY,2
1980,CA,602
1980,CB,1761
1980,CD,400
1980,CE,51
1980,CF,61
1980,CG,18
1980,CH,4517
1980,CI,295
1980,CM,30
1980,CN,6
1980,CO,1162
1980,CQ,18
1980,CS,223
1980,CT,43
1980,CU,827
1980,CV,3
1980,CY,69
1980,DA,72
1980,DJ,13
1980,DO,17
1980,DR,277
1980,EC,77
1980,EG,1039
1980,EI,1259
1980,EK,2
1980,EN,12
1980,ER,139
1980,ES,5039
1980,ET,857
1980,EZ,64
1980,FG,30
1980,FI,46
1980,FJ,13
1980,FM,16
1980,FR,2443
1980,GA,10
1980,GG,37
1980,GH,39
1980,GI,7
1980,GJ,80
1980,GL,8
1980,GM,1413
1980,GP,68
1980,GR,175
1980,GT,1622
1980,GV,53
1980,GY,184
1980,GZ,80
1980,HA,100
1980,HK,42
1980,HO,298
1980,HR,63
1980,HU,193
1980,ID,112
1980,IN,2513
1980,IR,23164
1980,IS,9361
1980,IT,3857
1980,IV,15
1980,IZ,11541
1980,JA,1074
1980,JM,667
1980,JO,632
1980,KE,476
1980,KN,409
1980,KR,9
1980,KS,1897
1980,KU,265
1980,LA,605
1980,LE,5746
1980,LH,27
1980,LI,529
1980,LO,79
1980,LT,227
1980,LU,13
1980,LY,1266
1980,MA,9
1980,MB,2
1980,MC,6
1980,MG,39
1980,MJ,18
1980,MK,11
1980,ML,29
1980,MO,521
1980,MR,39
1980,MT,22
1980,MU,25
1980,MX,523
1980,MY,136
1980,MZ,441
1980,NC,9
1980,NH,35
1980,NI,239
1980,NL,473
1980,NO,160
1980,NP,58
1980,NS,125
1980,NU,720
1980,NZ,23
1980,OC,79
1980,OS,78
1980,PA,373
1980,PE,253
1980,PK,1634
1980,PL,1455
1980,PM,171
1980,PO,317
1980,PP,20
1980,PU,16
1980,QA,36
1980,RB,114
1980,RO,82
1980,RP,1168
1980,RQ,115
1980,RS,11170
1980,RW,9
1980,SA,619
1980,SE,19
1980,SF,3699
1980,SG,87
1980,SI,78
1980,SL,9
1980,SN,31
1980,SO,1393
1980,SP,2258
1980,SU,202
1980,SW,129
1980,SY,2800
1980,SZ,446
1980,TD,6
1980,TH,4084
1980,TI,11
1980,TO,18
1980,TS,349
1980,TT,26
1980,TU,3269
1980,TW,92
1980,TX,10
1980,TZ,205
1980,UG,669
1980,UK,5123
1980,UP,5
1980,US,15510
1980,UY,122
1980,UZ,37
1980,VE,179
1980,VM,5696
1980,VQ,19
1980,VT,2
1980,WA,846
1980,WE,1335
1980,WI,86
1980,WZ,9
1980,YI,101
1980,YM,93
1980,ZA,522
1980,ZI,2851
1981,AC,14
1981,AE,45
1981,AF,5741
1981,AG,290
1981,AJ,124
1981,AL,305
1981,AM,363
1981,AO,1659
1981,AR,517
1981,AS,485
1981,AU,498
1981,AV,9
1981,AY,4
1981,BA,70
1981,BB,72
1981,BC,112
1981,BD,26
1981,BE,383
1981,BF,43
1981,BG,605
1981,BH,25
1981,BL,454
1981,BM,351
1981,BN,7
1981,BO,13
1981,BR,597
1981,BU,156
1981,BX,17
1981,CA,1074
1981,CB,1441
1981,CD,831
1981,CE,189
1981,CF,13
1981,CG,33
1981,CH,3448
1981,CI,504
1981,CM,76
1981,CO,1292
1981,CQ,12
1981,CS,216
1981,CT,35
1981,CU,732
1981,CY,120
1981,DA,219
1981,DJ,7
1981,DO,131
1981,DR,167
1981,EC,509
1981,EG,4819
1981,EI,4761
1981,EN,18
1981,ER,120
1981,ES,11870
1981,ET,281
1981,EZ,105
1981,FI,37
1981,FJ,111
1981,FM,9
1981,FR,3035
1981,GA,186
1981,GB,10
1981,GG,39
1981,GH,172
1981,GI,1
1981,GJ,39
1981,GL,8
1981,GM,4161
1981,GP,21
1981,GQ,37
1981,GR,404
1981,GT,5618
1981,GV,1
1981,GY,57
1981,GZ,96
1981,HA,52
1981,HK,54
1981,HO,1441
1981,HR,48
1981,HU,153
1981,IC,3
1981,ID,247
1981,IN,3129
1981,IR,19217
1981,IS,17843
1981,IT,5238
1981,IV,77
1981,IZ,8319
1981,JA,1180
1981,JE,22
1981,JM,115
1981,JO,615
1981,KE,437
1981,KG,8
1981,KN,404
1981,KR,28
1981,KS,859
1981,KU,311
1981,KV,98
1981,KZ,8
1981,LA,533
1981,LE,12545
1981,LH,44
1981,LI,208
1981,LO,43
1981,LT,91
1981,LY,3106
1981,MA,53
1981,MG,36
1981,MH,18
1981,MI,19
1981,MJ,20
1981,MK,1
1981,MO,797
1981,MR,295
1981,MT,29
1981,MU,40
1981,MX,1235
1981,MY,146
1981,MZ,806
1981,NC,56
1981,NG,9
1981,NI,479
1981,NL,308
1981,NO,132
1981,NP,41
1981,NS,8
1981,NU,1307
1981,NZ,114
1981,OC,132
1981,OS,248
1981,PA,102
1981,PE,878
1981,PG,11
1981,PK,2079
1981,PL,4691
1981,PM,79
1981,PO,202
1981,PS,39
1981,PU,3
1981,QA,13
1981,RB,64
1981,RE,12
1981,RI,54
1981,RM,4
1981,RO,85
1981,RP,2877
1981,RQ,209
1981,RS,7905
1981,RW,10
1981,SA,810
1981,SE,423
1981,SF,5875
1981,SG,309
1981,SL,3
1981,SN,141
1981,SO,479
1981,SP,3698
1981,SU,682
1981,SW,162
1981,SY,6649
1981,SZ,381
1981,TD,8
1981,TH,4268
1981,TI,2
1981,TO,4
1981,TS,40
1981,TU,3297
1981,TW,137
1981,TX,10
1981,TZ,193
1981,UG,1564
1981,UK,14100
1981,UP,96
1981,US,24649
1981,UV,6
1981,UY,31
1981,UZ,9
1981,VC,10
1981,VE,240
1981,VM,6827
1981,VT,65
1981,WA,1229
1981,WE,697
1981,WI,208
1981,WZ,26
1981,YI,29
1981,YM,217
1981,ZA,129
1981,ZI,1753
1982,AE,37
1982,AF,4281
1982,AG,269
1982,AJ,37
1982,AL,286
1982,AM,611
1982,AO,1325
1982,AQ,41
1982,AR,13725
1982,AS,737
1982,AU,445
1982,AY,35
1982,BA,34
1982,BC,87
1982,BD,72
1982,BE,572
1982,BF,45
1982,BG,246
1982,BH,40
1982,BK,18
1982,BL,355
1982,BM,290
1982,BN,2
1982,BO,10
1982,BR,613
1982,BU,547
1982,BX,54
1982,CA,954
1982,CB,1043
1982,CD,375
1982,CE,487
1982,CF,25
1982,CH,2431
1982,CI,465
1982,CM,39
1982,CO,1046
1982,CQ,12
1982,CS,353
1982,CU,583
1982,CY,159
1982,DA,141
1982,DJ,60
1982,DO,66
1982,DR,120
1982,EC,71
1982,EG,2137
1982,EI,2968
1982,EK,2
1982,EN,7
1982,ER,385
1982,ES,17774
1982,ET,1134
1982,EZ,54
1982,FG,2
1982,FI,54
1982,FJ,60
1982,FK,894
1982,FR,4147
1982,GB,2
1982,GG,112
1982,GH,220
1982,GI,30
1982,GJ,71
1982,GL,2
1982,GM,2718
1982,GQ,30
1982,GR,348
