id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
51720,,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,R 27/3 1990,,,,Police,1,Hyderabad Town,,Sindh Province,Hyderabad District,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,03/27/1990 00:00:00,03/27/1990 00:00:00,0,0,0,1,1,1,1,
51721,,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,R 20/5 1990,,,,Doctors,1,Hyderabad Town,,Sindh Province,Hyderabad District,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,2,1,05/20/1990 00:00:00,05/20/1990 00:00:00,0,0,0,8,8,8,8,
51723,,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,R 28/3 1990,,,,Police,1,Hyderabad Town,,Sindh Province,Hyderabad District,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,03/28/1990 00:00:00,03/28/1990 00:00:00,0,0,0,2,2,2,2,
51727,,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,R 22/5 1990,,,,Doctors,1,Karachi Town,,Sindh Province,Karachi District,24.860000,67.010000,POINT (67.010000 24.860000),165375,Pakistan,770,Asia,1,1,05/22/1990 00:00:00,05/22/1990 00:00:00,0,0,0,5,5,5,5,
51733,,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,R 23/5 1990,,,,Government statement,1,Hyderabad Town,,Sindh Province,Hyderabad District,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,05/23/1990 00:00:00,05/23/1990 00:00:00,0,0,0,6,6,6,6,
51734,,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,R 23/5 1990,,,,Government statement,1,Hyderabad Town,,Sindh Province,Hyderabad District,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,05/23/1990 00:00:00,05/23/1990 00:00:00,0,0,0,1,1,1,1,
51736,,1991,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 15/1 1991,,,,Military statement,1,Athmuqam town,,Azad Jammu & Kashmir,Neelam District,34.571730,73.897240,POINT (73.897240 34.571730),179788,Pakistan,770,Asia,1,1,01/15/1991 00:00:00,01/15/1991 00:00:00,0,0,2,0,2,2,2,
51741,,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,R 17/4 1990,,,,Police,1,Hyderabad Town,,Sindh Province,Hyderabad District,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,04/17/1990 00:00:00,04/17/1990 00:00:00,0,0,0,2,2,2,2,
51742,,1990,True,Clear,2,11231,10621,Mohajir - Sindhi,11231,11231,Mohajir - Sindhi,2848,2848,Mohajir,2849,2849,Sindhi,-1,R 26/5 1990,,,,Doctors,1,Hyderabad Town,,Sindh Province,Hyderabad District,25.379167,68.368333,POINT (68.368333 25.379167),166097,Pakistan,770,Asia,1,1,05/26/1990 00:00:00,05/26/1990 00:00:00,0,0,0,9,9,9,9,
51749,,1993,False,Clear,2,5415,4805,MQM - MQM-H,5415,5415,MQM - MQM-H,354,354,MQM,832,832,MQM-H,-1,R 30/9 1993,,,,Police,1,Karachi Town,,Sindh Province,Karachi District,24.860000,67.010000,POINT (67.010000 24.860000),165375,Pakistan,770,Asia,1,1,09/30/1993 00:00:00,09/30/1993 00:00:00,3,0,0,0,3,3,3,
