Year,EventRootCode,Articles_per_Event
1979,01,4.2475717001232427
1979,02,4.54357588176309
1979,03,4.4640582655826559
1979,04,4.3677787891152189
1979,05,4.3768827256673939
1979,06,4.6937470393178584
1979,07,4.6113893094212184
1979,08,4.3076582231740641
1979,09,4.38266967192587
1979,10,4.5593190898037168
1979,11,4.255258772127382
1979,12,4.2844616254950028
1979,13,4.3136252045826513
1979,14,4.75171781951443
1979,15,4.5115244642135055
1979,16,4.0813691330190611
1979,17,4.2840344484928785
1979,18,4.2216071769421646
1979,19,4.3272876199391526
1979,20,4.3181818181818183
1980,01,3.9807422969187676
1980,02,4.3609818278836752
1980,03,4.100397859788723
1980,04,4.0787203333731243
1980,05,4.16395482388974
1980,06,4.3766245822502787
1980,07,4.2972346119536127
1980,08,4.1717671846194362
1980,09,4.104749921358918
1980,10,4.2605354784487934
1980,11,4.0185228196492861
1980,12,4.1646070535962236
1980,13,3.9829798043947671
1980,14,4.4633426759109014
1980,15,4.1113655883194964
1980,16,4.0777224199288256
1980,17,4.0395101547145087
1980,18,3.9913208893116159
1980,19,4.0502627015555035
1980,20,5.3
1981,01,3.9936701482793993
1981,02,4.3035816074482236
1981,03,4.0854965254427258
1981,04,4.056121105958141
1981,05,4.1204959081470625
1981,06,4.3143927319094679
1981,07,4.2054794520547949
1981,08,4.1497718706605831
1981,09,4.2241860465116279
1981,10,4.1617617816663355
1981,11,4.0135037321872877
1981,12,4.19254260663974
1981,13,4.1323210412147509
1981,14,4.3457725297983734
1981,15,4.0458432304038006
1981,16,4.1056533827618162
1981,17,4.0801682740008731
1981,18,3.9847549569771794
1981,19,4.06950824756256
1981,20,4.0161290322580649
1982,01,3.9873118547082971
1982,02,4.23423072187795
1982,03,4.0328880541234646
1982,04,4.0672345403213752
1982,05,4.1803135888501739
1982,06,4.2314885788747505
1982,07,4.1709413558852075
1982,08,4.1274285292162221
1982,09,4.0769908041479166
1982,10,4.1520018990346577
1982,11,4.0624508871334628
1982,12,4.1796043255930924
1982,13,4.1339184844008
1982,14,4.4831519601416021
1982,15,4.0908035299581975
1982,16,4.1308096323456542
1982,17,4.0447735191637628
1982,18,3.8906773977196512
1982,19,4.0408415841584162
1982,20,4.355316285329744
1983,01,4.003492236718091
1983,02,4.29026572408376
1983,03,4.0879156118143456
1983,04,4.0580661192495793
1983,05,4.1795182440136829
1983,06,4.3233227309712259
1983,07,4.2380351850684157
1983,08,4.1907651430828334
1983,09,4.0827804583835947
1983,10,4.1307117577664174
1983,11,4.0590044846373372
1983,12,4.1588271227855831
1983,13,4.1584939416117752
1983,14,4.8736758172912635
1983,15,4.2866242038216562
1983,16,3.992308502792119
1983,17,4.1236161286563338
1983,18,3.967772362836032
1983,19,4.1256226672669447
1983,20,4.0887573964497044
1984,01,3.9674020811519539
1984,02,4.2837613263166228
1984,03,4.1229030578831587
1984,04,4.06611576370189
1984,05,4.2103942821981351
1984,06,4.324716047662184
1984,07,4.340409911287856
1984,08,4.174775409547296
1984,09,4.121539183481933
1984,10,4.24513259483048
1984,11,4.0892677667525534
1984,12,4.2400886584141855
1984,13,4.2703480985855844
1984,14,4.7342665050148796
1984,15,4.3492346030615874
1984,16,4.1463001693058459
1984,17,4.1490801186943624
1984,18,4.0283110067670211
1984,19,4.2069969671757157
1984,20,4.552083333333333
1985,01,3.9832123823095742
1985,02,4.4071926361937361
1985,03,4.2442273660366672
1985,04,4.085555766126661
1985,05,4.206538139145013
1985,06,4.49857317570322
1985,07,4.4547987961208335
1985,08,4.1356140930525935
1985,09,4.0965942264028543
1985,10,4.2452017234625927
1985,11,4.1318625284699326
1985,12,4.2249660684662951
1985,13,4.2993956299395633
1985,14,4.6606040922377394
1985,15,4.5136825645035188
1985,16,4.1969916636462488
1985,17,4.04594818288982
1985,18,3.8561026158068672
1985,19,4.2774273076644187
1985,20,4.078125
1986,01,4.01393931680878
1986,02,4.4570377696729926
1986,03,4.3851700219046625
1986,04,4.1738390395999341
1986,05,4.242261728267736
1986,06,4.6153158965705492
1986,07,4.6674215131240349
1986,08,4.0998761865456048
1986,09,4.0746112071093554
1986,10,4.3162765002416963
1986,11,4.1283524616055711
1986,12,4.31810127444967
1986,13,4.3394752262517091
1986,14,4.7230477993374347
1986,15,4.71499176276771
1986,16,4.2330325882036091
1986,17,3.9904089069731046
1986,18,3.72251337783417
1986,19,4.3331810641213666
1986,20,4.0
1987,01,4.118257008133555
1987,02,4.6468314152318078
1987,03,4.5451815945593976
1987,04,4.3345232356272714
1987,05,4.4127104847238892
1987,06,4.6357425211068275
1987,07,4.7371543439890171
1987,08,4.2904807560608136
1987,09,4.1936166241523054
1987,10,4.4971488178025032
