Year,NumArticles
1979,1883085
1980,2304837
1981,2776180
1982,3122690
1983,3488567
1984,3606781
1985,4107854
1986,4540550
1987,4776337
1988,5259700
1989,4925783
1990,5070681
1991,7594609
1992,5053436
1993,6153859
1994,8036019
1995,7205932
1996,12948941
1997,16750170
1998,21835488
1999,24765011
2000,22388410
2001,24104185
2002,19821391
2003,28398062
2004,21637461
2005,16027610
2006,21108846
2007,55399295
2008,81720085
2009,170504105
2010,191924987
2011,305242252
2012,352646202
2013,326820710
2014,482359010
2015,959999340
2016,1052663923
2017,892587927
