ActionGeo_CountryCode,MonthYear,EventRootCode,Nb_Events,Sum_Articles
SY,201609,19,26118,558078
SY,201608,19,23797,513882
SY,201602,19,27567,483618
SY,201510,19,27216,469990
SY,201612,19,22474,468685
SY,201610,19,24023,457128
IZ,201610,19,16385,438813
SY,201604,19,19387,415799
IZ,201611,19,15670,407503
SY,201511,19,27831,405423
IZ,201605,19,14878,383091
SY,201512,19,25839,382983
SY,201605,19,19977,368694
SY,201207,19,17705,368017
IZ,201406,19,25109,367342
SY,201611,19,19072,347364
PK,201412,19,19572,340624
SY,201505,19,15224,340276
SY,201208,19,17697,336338
IZ,201503,19,15582,327332
SY,201506,19,15846,325161
SY,201507,19,16194,316441
IZ,201408,19,21880,311396
SY,201410,19,22391,310929
SY,201409,19,23306,307518
SY,201606,19,17792,307029
AF,201510,19,13990,306858
PK,201105,19,18473,297149
IZ,201505,19,13965,291564
SY,201202,19,14995,289231
SY,201509,19,17497,285457
AF,201608,19,12625,284606
SY,201603,19,17661,276793
SY,201607,19,16244,270836
PK,201608,19,14562,269193
SY,201503,19,13137,267917
IZ,201607,19,12824,267136
IZ,201606,19,13014,266039
SY,201309,19,19238,265526
IZ,201410,19,18951,262610
IZ,201409,19,19494,260040
SY,201601,19,18155,259286
IZ,201504,19,11785,259190
SY,201508,19,16618,254789
SY,201210,19,13595,252509
AF,201101,19,7558,252465
PK,201601,19,16259,243850
PK,201610,19,16998,241169
SY,201203,19,14179,241057
AF,201505,19,8625,234111
IZ,201506,19,11304,232275
AF,201508,19,11173,231748
AF,201607,19,10777,230289
AF,201512,19,12655,229314
IZ,201507,19,11096,224475
IZ,201512,19,14348,224147
SY,201502,19,12851,223012
SY,201308,19,15640,219701
IZ,201608,19,10070,218474
AF,201606,19,12522,217440
SY,201408,19,16948,215263
SY,201204,19,11664,213549
IZ,201612,19,9523,212909
IZ,201411,19,14762,212518
SY,201206,19,13665,211818
PK,200910,19,17714,210648
AF,201108,19,11700,209396
SY,201209,19,11835,209034
SY,201504,19,11602,205936
PK,201508,19,15902,205331
PK,201509,19,13217,205132
IZ,201502,19,12037,203653
AF,201107,19,12478,199968
PK,201505,19,12665,199040
IZ,201603,19,11305,198184
PK,201503,19,12234,198133
SY,201205,19,11196,194839
PK,201609,19,14416,193653
PK,201406,19,15139,190212
SY,201212,19,9281,187821
AF,201506,19,9007,187462
IZ,201601,19,11220,187319
IZ,201508,19,10495,185480
AF,201008,19,12311,185166
SY,201211,19,10175,184892
SY,201501,19,13938,182820
PK,201603,19,12069,182569
AF,201208,19,11249,180665
SY,201108,19,10027,180047
AF,201611,19,8852,179272
AF,201605,19,12494,178455
AF,201507,19,10120,178218
AF,201203,19,11650,177894
SY,201411,19,12674,177181
AF,201105,19,11446,173673
PK,201504,19,12185,173350
AF,201509,19,9209,171592
PK,201607,19,14121,171062
SY,201403,19,12691,169996
SY,201310,19,10349,165900
SY,201301,19,7927,165477
AF,201604,19,9357,163899
IZ,201602,19,8774,162473
IZ,201412,19,11317,162313
AF,201009,19,10077,161913
PK,201507,19,12685,161444
IZ,201511,19,11427,159474
AF,201610,19,10767,159448
PK,201611,19,12289,156777
PK,201501,19,13782,156358
AF,201204,19,9060,153526
SY,201404,19,9960,152992
IZ,201501,19,10980,152709
AF,201504,19,7210,152624
IZ,201401,19,10997,151749
AF,201609,19,8209,151377
IZ,201407,19,11878,151192
AF,201601,19,10979,150962
AF,201010,19,10569,149450
PK,201605,19,12822,149421
AF,201012,19,9107,146463
IZ,201604,19,8596,145844
AF,201106,19,9893,145366
PK,200905,19,15243,144940
PK,201410,19,13702,144903
IZ,201510,19,9772,142723
AF,201412,19,8040,140140
PK,201512,19,11043,139959
SY,201303,19,8139,138771
AF,201104,19,9957,137480
AF,201207,19,7858,136969
SY,201201,19,7837,136947
IZ,201008,19,6853,136573
AF,200908,19,11681,136474
AF,201209,19,7997,136418
AF,201205,19,8963,136290
SY,201412,19,10703,135817
AF,200910,19,10181,134511
SY,201104,19,7773,133995
SY,201406,19,10430,133541
SY,201402,19,9306,132294
PK,201506,19,10576,131851
IZ,201609,19,8582,131814
PK,201009,19,9325,130949
SY,201311,19,9083,130392
AF,201002,19,12058,126029
AF,201109,19,8976,126001
PK,201409,19,11759,125721
AF,201612,19,6871,125425
PK,200912,19,11904,124923
SY,201302,19,7181,124570
AF,201602,19,8514,124472
SY,201401,19,9341,123698
AF,201511,19,8516,123501
PK,201106,19,11407,123275
IZ,201308,19,6456,123172
PK,201510,19,10196,122648
MX,201601,19,6186,122403
PK,201301,19,10189,122306
AF,201111,19,7225,120958
SY,201312,19,9476,119277
PK,201310,19,11364,118861
AF,201011,19,7827,116746
PK,200908,19,12917,116653
PK,201308,19,11869,116363
