country,year,deaths
Iraq,2003,7999
Iraq,2004,4365
Iraq,2005,3521
Iraq,2006,4609
Iraq,2007,4489
Iraq,2008,2732
Iraq,2009,1718
Iraq,2010,1851
Iraq,2011,1394
Iraq,2012,1407
Iraq,2013,4011
Afghanistan,2003,944
Afghanistan,2004,817
Afghanistan,2005,1711
Afghanistan,2006,4982
Afghanistan,2007,7020
Afghanistan,2008,5660
Afghanistan,2009,6499
Afghanistan,2010,7151
Afghanistan,2011,7565
Afghanistan,2012,7822
Afghanistan,2013,8131
Mexico,2004,220
Mexico,2005,187
Mexico,2006,686
Mexico,2007,610
Mexico,2008,1869
Mexico,2009,2263
Mexico,2010,3313
Mexico,2011,2715
Mexico,2012,1699
Mexico,2013,776
Pakistan,2003,241
Pakistan,2004,430
Pakistan,2005,153
Pakistan,2006,427
Pakistan,2007,1366
Pakistan,2008,4620
Pakistan,2009,7460
Pakistan,2010,7226
Pakistan,2011,3474
Pakistan,2012,3540
Pakistan,2013,2902
