ActionGeo_CountryCode,Sum_Events
US,9495320
IS,1388619
PK,1388042
IZ,1244830
AF,1176532
SY,1153458
UK,1054506
IN,1012818
RS,777605
NI,639071
AS,558298
TU,536000
FR,525347
CA,498508
CH,444118
IR,431786
RP,431104
EG,407909
SF,375106
YM,313496
SO,306989
LY,304337
LE,299430
MX,298217
GM,284847
SA,248940
KE,240107
UP,232210
JA,213122
BG,199329
SU,196142
CE,189663
ID,189283
IT,187060
EI,180123
WE,168520
TH,159616
MY,136600
SP,135002
UG,130734
KS,117551
GZ,115707
CO,111105
ZI,106268
GR,103241
NZ,103022
JO,102963
VM,100473
BE,92158
KN,91237
NP,88076
AM,82622
TS,79326
NL,76311
BM,75045
BR,73290
AG,72848
ET,71933
RW,68858
SW,67692
AJ,66935
OD,65552
ML,65348
SZ,64876
GH,63906
PL,60593
RB,55232
CU,54323
VE,52606
JM,52002
AE,50455
NO,48163
CD,45725
CB,43996
AR,41320
GG,39891
BA,39300
DA,38421
TW,38213
CM,38036
PE,37602
AU,37515
BY,37437
HA,36360
SN,35150
CG,34343
AL,34103
CT,33573
IV,33448
KU,32809
NG,32462
MO,31796
CI,31783
CF,31682
BU,31628
LI,31188
MK,29477
CQ,29416
HU,29036
HR,28294
ZA,28250
TZ,27113
UZ,27108
RI,26427
EZ,25965
QA,25936
WA,25850
HO,25584
GT,25341
PO,25027
HK,24525
KG,23818
BK,23558
TI,22733
BF,22242
TD,22105
JE,21792
SE,21118
AO,21051
RO,20712
SL,20523
ES,20418
MZ,20126
FJ,18708
MT,18235
CY,18127
BO,17326
GV,16880
RQ,16664
FI,16628
BH,15993
OS,15937
PM,15837
ER,15131
GY,15105
EC,15006
KZ,14811
BL,14674
SG,14550
MI,13784
GJ,13452
BD,13148
DJ,12909
UV,12275
GA,11921
BC,11901
FM,11230
TT,10447
MR,9957
PP,9891
TX,9883
MU,9624
KV,9432
DR,9099
LH,8880
BX,8877
LA,8432
BN,8402
OC,7994
EN,7886
NU,7671
LO,7378
CS,7204
LG,6830
IC,6520
PA,5924
MV,5632
GQ,5609
WZ,5320
UY,5285
MG,5135
MA,5110
MD,4862
LT,4693
BT,4436
BB,4093
TO,4063
SI,3906
LU,3827
WS,3775
PU,3767
MH,3239
GB,3129
MJ,3116
BP,2931
MP,2630
GL,2604
CJ,2548
TN,2456
VT,2401
NR,2352
MN,2335
YI,2193
GI,2122
RE,2086
RM,1894
EK,1831
WI,1751
VQ,1629
SH,1536
KR,1530
AC,1525
GK,1524
AY,1474
VC,1447
MC,1398
CN,1324
NH,1284
PS,1239
ST,1033
NS,989
CV,809
KT,782
AA,768
NC,597
AQ,583
DO,580
VI,505
LS,498
SM,488
GP,475
CW,432
SV,399
PG,377
MB,375
SC,374
FP,337
PF,336
FO,326
AV,320
AN,243
FK,241
FG,228
TV,222
IM,221
PC,200
TP,197
NF,138
MF,136
WQ,122
RN,104
NE,95
IO,69
NT,46
TL,45
TK,33
SB,33
HQ,29
DQ,15
JQ,11
LQ,6
HM,3
MQ,2
BQ,2
TE,1
FQ,1
BV,1
JN,1
WF,1
